Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.259,0.362,0.378,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1432
Client   1,0.00,0.409,0.00,0.303,0.00,0.00,0.00,0.00,0.288,0.00,1269
Client   2,0.301,0.00,0.440,0.00,0.00,0.259,0.00,0.00,0.00,0.00,1232
Client   3,0.00,0.375,0.00,0.277,0.00,0.00,0.00,0.348,0.00,0.00,1385
Client   4,0.00,0.448,0.00,0.00,0.266,0.00,0.00,0.00,0.00,0.286,1158
Client   5,0.00,0.00,0.00,0.00,0.264,0.274,0.462,0.00,0.00,0.00,1165
Client   6,0.305,0.00,0.00,0.00,0.253,0.00,0.442,0.00,0.00,0.00,1217
Client   7,0.00,0.00,0.00,0.327,0.262,0.00,0.00,0.411,0.00,0.00,1174
Client   8,0.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.343,0.310,1067
Client   9,0.00,0.00,0.459,0.00,0.261,0.00,0.00,0.00,0.00,0.280,1181
Client  10,0.313,0.00,0.00,0.00,0.00,0.00,0.00,0.407,0.00,0.280,1183
Client  11,0.00,0.448,0.00,0.00,0.266,0.00,0.00,0.00,0.00,0.286,1158
Client  12,0.255,0.00,0.374,0.00,0.00,0.00,0.371,0.00,0.00,0.00,1450
Client  13,0.00,0.00,0.00,0.327,0.263,0.00,0.00,0.411,0.00,0.00,1173
Client  14,0.00,0.379,0.396,0.00,0.225,0.00,0.00,0.00,0.00,0.00,1369
Client  15,0.00,0.00,0.00,0.359,0.00,0.299,0.00,0.00,0.343,0.00,1068
Client  16,0.00,0.00,0.347,0.00,0.00,0.00,0.344,0.309,0.00,0.00,1562
Client  17,0.00,0.00,0.00,0.00,0.278,0.288,0.00,0.435,0.00,0.00,1109
Client  18,0.00,0.00,0.00,0.355,0.00,0.00,0.00,0.00,0.339,0.306,1080
Client  19,0.00,0.00,0.459,0.00,0.260,0.00,0.00,0.00,0.00,0.281,1180
Client  20,0.363,0.00,0.00,0.00,0.00,0.313,0.00,0.00,0.00,0.325,1020
Client  21,0.291,0.408,0.00,0.301,0.00,0.00,0.00,0.00,0.00,0.00,1272
Client  22,0.301,0.00,0.440,0.00,0.00,0.259,0.00,0.00,0.00,0.00,1230
Client  23,0.00,0.00,0.00,0.363,0.291,0.00,0.00,0.00,0.347,0.00,1056
Client  24,0.00,0.00,0.00,0.380,0.304,0.316,0.00,0.00,0.00,0.00,1009
Client  25,0.351,0.00,0.00,0.00,0.00,0.302,0.00,0.00,0.347,0.00,1055
Client  26,0.00,0.374,0.00,0.00,0.00,0.00,0.388,0.00,0.00,0.238,1388
Client  27,0.00,0.00,0.00,0.323,0.00,0.269,0.00,0.407,0.00,0.00,1184
Client  28,0.00,0.00,0.00,0.00,0.254,0.00,0.444,0.00,0.302,0.00,1211
Client  29,0.00,0.374,0.00,0.00,0.00,0.00,0.388,0.00,0.00,0.238,1386
Client  30,0.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.343,0.310,1066
Client  31,0.00,0.379,0.396,0.00,0.225,0.00,0.00,0.00,0.00,0.00,1366
Client  32,0.00,0.00,0.403,0.00,0.00,0.238,0.00,0.359,0.00,0.00,1342
Client  33,0.331,0.00,0.00,0.342,0.00,0.00,0.00,0.00,0.327,0.00,1119
Client  34,0.00,0.00,0.00,0.363,0.291,0.00,0.00,0.00,0.347,0.00,1056
Client  35,0.363,0.00,0.00,0.00,0.00,0.313,0.00,0.00,0.00,0.324,1019
Client  36,0.302,0.00,0.00,0.00,0.00,0.260,0.438,0.00,0.00,0.00,1227
Client  37,0.00,0.00,0.00,0.321,0.00,0.00,0.00,0.403,0.00,0.276,1195
Client  38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.409,0.311,0.280,1178
Client  39,0.00,0.00,0.00,0.355,0.00,0.00,0.00,0.00,0.339,0.306,1078
Client  40,0.316,0.00,0.00,0.00,0.00,0.272,0.00,0.412,0.00,0.00,1171
Client  41,0.00,0.365,0.00,0.00,0.00,0.00,0.379,0.00,0.257,0.00,1421
Client  42,0.00,0.00,0.442,0.00,0.00,0.260,0.00,0.00,0.298,0.00,1225
Client  43,0.00,0.00,0.00,0.375,0.301,0.00,0.00,0.00,0.00,0.324,1020
Client  44,0.00,0.380,0.00,0.00,0.225,0.00,0.395,0.00,0.00,0.00,1363
Client  45,0.00,0.00,0.00,0.380,0.304,0.316,0.00,0.00,0.00,0.00,1009
Client  46,0.302,0.00,0.00,0.00,0.00,0.259,0.439,0.00,0.00,0.00,1226
Client  47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.410,0.310,0.280,1177
Client  48,0.00,0.00,0.00,0.00,0.266,0.00,0.00,0.417,0.317,0.00,1153
Client  49,0.00,0.444,0.00,0.00,0.00,0.273,0.00,0.00,0.00,0.283,1166
