Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.129,0.194,0.065,0.097,0.097,0.097,0.129,0.065,0.129,31
Client   1,0.070,0.123,0.091,0.103,0.090,0.093,0.102,0.109,0.115,0.102,667
Client   2,0.061,0.110,0.073,0.098,0.159,0.098,0.134,0.085,0.073,0.110,82
Client   3,0.098,0.130,0.102,0.091,0.105,0.074,0.114,0.103,0.083,0.099,876
Client   4,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,1
Client   5,0.214,0.00,0.071,0.071,0.143,0.071,0.143,0.071,0.00,0.214,14
Client   6,0.108,0.090,0.113,0.086,0.113,0.081,0.104,0.140,0.090,0.077,222
Client   7,0.085,0.146,0.100,0.108,0.112,0.088,0.088,0.119,0.092,0.062,260
Client   8,0.227,0.045,0.045,0.091,0.091,0.091,0.091,0.136,0.091,0.091,22
Client   9,0.087,0.079,0.095,0.167,0.079,0.087,0.056,0.119,0.119,0.111,126
Client  10,0.083,0.127,0.102,0.093,0.088,0.102,0.102,0.078,0.137,0.088,205
Client  11,0.091,0.106,0.114,0.094,0.088,0.109,0.106,0.078,0.112,0.101,385
Client  12,0.00,0.333,0.222,0.00,0.00,0.00,0.00,0.111,0.222,0.111,9
Client  13,0.00,0.00,0.125,0.250,0.250,0.00,0.125,0.00,0.125,0.125,8
Client  14,0.333,0.00,0.00,0.00,0.667,0.00,0.00,0.00,0.00,0.00,3
Client  15,0.127,0.099,0.113,0.127,0.099,0.085,0.085,0.099,0.070,0.099,71
Client  16,0.076,0.090,0.138,0.103,0.083,0.097,0.097,0.103,0.097,0.117,145
Client  17,0.102,0.116,0.100,0.112,0.093,0.080,0.098,0.098,0.108,0.093,1818
Client  18,0.100,0.122,0.089,0.122,0.122,0.100,0.111,0.044,0.078,0.111,90
Client  19,0.200,0.00,0.400,0.200,0.00,0.00,0.00,0.00,0.200,0.00,5
Client  20,0.079,0.146,0.100,0.113,0.092,0.079,0.083,0.096,0.113,0.100,240
Client  21,0.273,0.136,0.227,0.00,0.045,0.00,0.045,0.136,0.091,0.045,22
Client  22,0.108,0.189,0.162,0.108,0.081,0.027,0.054,0.054,0.108,0.108,37
Client  23,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.250,0.250,4
Client  24,0.077,0.120,0.077,0.085,0.111,0.103,0.154,0.103,0.120,0.051,117
Client  25,0.092,0.117,0.102,0.097,0.092,0.091,0.102,0.110,0.096,0.100,1406
Client  26,0.118,0.111,0.087,0.102,0.096,0.078,0.102,0.094,0.111,0.100,459
Client  27,0.142,0.122,0.108,0.115,0.054,0.095,0.095,0.074,0.108,0.088,148
