Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.250,0.00,0.00,0.250,0.00,0.00,0.500,0.00,0.00,4
Client   1,0.190,0.095,0.095,0.238,0.095,0.00,0.095,0.048,0.095,0.048,42
Client   2,0.099,0.078,0.106,0.109,0.106,0.089,0.096,0.099,0.116,0.102,293
Client   3,0.097,0.086,0.124,0.088,0.114,0.137,0.088,0.082,0.097,0.088,525
Client   4,0.00,0.00,0.182,0.182,0.00,0.091,0.273,0.091,0.091,0.091,11
Client   5,0.143,0.143,0.071,0.071,0.286,0.071,0.071,0.00,0.071,0.071,14
Client   6,0.111,0.084,0.099,0.099,0.087,0.102,0.093,0.099,0.115,0.111,323
Client   7,0.096,0.053,0.105,0.140,0.105,0.070,0.132,0.140,0.061,0.096,114
Client   8,0.059,0.176,0.118,0.176,0.235,0.00,0.00,0.059,0.118,0.059,17
Client   9,0.099,0.103,0.089,0.082,0.078,0.103,0.148,0.095,0.101,0.103,515
Client  10,0.120,0.060,0.111,0.088,0.106,0.074,0.157,0.078,0.120,0.088,217
Client  11,0.100,0.103,0.103,0.087,0.108,0.094,0.092,0.097,0.099,0.118,1395
Client  12,0.105,0.084,0.104,0.116,0.087,0.083,0.111,0.098,0.107,0.104,835
Client  13,0.128,0.057,0.099,0.095,0.114,0.103,0.082,0.118,0.107,0.097,475
Client  14,0.100,0.099,0.089,0.109,0.112,0.103,0.103,0.089,0.100,0.095,687
Client  15,0.138,0.086,0.121,0.138,0.121,0.103,0.103,0.086,0.103,0.00,58
Client  16,0.500,0.125,0.00,0.00,0.00,0.00,0.250,0.125,0.00,0.00,8
Client  17,0.120,0.103,0.095,0.103,0.089,0.115,0.087,0.113,0.095,0.080,515
Client  18,0.092,0.080,0.076,0.112,0.096,0.129,0.096,0.096,0.133,0.088,249
Client  19,0.400,0.200,0.00,0.200,0.00,0.00,0.00,0.200,0.00,0.00,5
Client  20,0.667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.333,3
Client  21,0.087,0.093,0.105,0.105,0.099,0.116,0.151,0.081,0.093,0.070,172
Client  22,0.096,0.107,0.111,0.087,0.089,0.091,0.104,0.104,0.102,0.109,560
Client  23,0.059,0.176,0.059,0.118,0.118,0.00,0.294,0.059,0.118,0.00,17
Client  24,0.115,0.058,0.096,0.096,0.077,0.077,0.096,0.154,0.135,0.096,52
Client  25,0.091,0.061,0.121,0.061,0.061,0.061,0.212,0.152,0.061,0.121,33
Client  26,0.099,0.105,0.125,0.112,0.079,0.072,0.118,0.086,0.105,0.099,152
Client  27,0.085,0.094,0.142,0.113,0.104,0.038,0.094,0.132,0.047,0.151,106
Client  28,0.211,0.00,0.053,0.158,0.105,0.053,0.105,0.105,0.105,0.105,19
Client  29,0.096,0.090,0.051,0.107,0.129,0.140,0.096,0.090,0.096,0.107,178
Client  30,0.077,0.154,0.026,0.077,0.026,0.205,0.051,0.077,0.179,0.128,39
Client  31,0.134,0.086,0.106,0.106,0.106,0.097,0.097,0.086,0.078,0.103,359
Client  32,0.100,0.083,0.083,0.083,0.075,0.092,0.100,0.142,0.125,0.117,120
Client  33,0.167,0.065,0.159,0.080,0.094,0.065,0.065,0.065,0.101,0.138,138
Client  34,0.094,0.107,0.114,0.098,0.083,0.096,0.100,0.109,0.091,0.109,1454
Client  35,0.081,0.105,0.095,0.107,0.086,0.105,0.100,0.131,0.086,0.103,419
Client  36,0.100,0.150,0.150,0.00,0.150,0.150,0.050,0.050,0.050,0.150,20
Client  37,0.126,0.121,0.072,0.121,0.092,0.111,0.072,0.087,0.121,0.077,207
Client  38,0.061,0.182,0.091,0.091,0.00,0.061,0.152,0.091,0.152,0.121,33
Client  39,0.182,0.00,0.00,0.091,0.091,0.182,0.091,0.182,0.091,0.091,11
Client  40,0.115,0.154,0.077,0.077,0.115,0.00,0.077,0.154,0.115,0.115,26
Client  41,0.095,0.100,0.115,0.094,0.103,0.093,0.100,0.092,0.108,0.101,1080
Client  42,0.00,0.062,0.312,0.062,0.00,0.062,0.125,0.125,0.062,0.188,16
Client  43,0.143,0.095,0.143,0.048,0.048,0.143,0.095,0.095,0.143,0.048,21
Client  44,0.115,0.090,0.080,0.085,0.110,0.095,0.105,0.080,0.125,0.115,200
Client  45,0.028,0.083,0.125,0.125,0.042,0.181,0.153,0.097,0.083,0.083,72
Client  46,0.014,0.114,0.114,0.186,0.086,0.00,0.086,0.071,0.143,0.186,70
Client  47,0.116,0.114,0.090,0.116,0.101,0.074,0.083,0.109,0.114,0.083,457
Client  48,0.103,0.107,0.089,0.099,0.086,0.100,0.116,0.118,0.101,0.082,891
Client  49,0.075,0.132,0.038,0.075,0.094,0.038,0.208,0.189,0.075,0.075,53
Client  50,0.094,0.078,0.094,0.111,0.123,0.070,0.135,0.082,0.102,0.111,244
Client  51,0.099,0.089,0.097,0.087,0.112,0.112,0.094,0.094,0.099,0.117,393
Client  52,0.00,0.111,0.00,0.444,0.222,0.00,0.00,0.00,0.111,0.111,9
Client  53,0.121,0.121,0.091,0.061,0.091,0.061,0.091,0.121,0.121,0.121,33
Client  54,0.123,0.085,0.075,0.104,0.156,0.071,0.137,0.094,0.080,0.075,212
Client  55,0.079,0.114,0.090,0.123,0.090,0.107,0.097,0.097,0.086,0.116,699
Client  56,0.119,0.119,0.134,0.090,0.149,0.090,0.090,0.045,0.119,0.045,67
Client  57,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,1
Client  58,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,2
Client  59,0.111,0.00,0.222,0.00,0.111,0.111,0.00,0.222,0.111,0.111,9
Client  60,0.132,0.121,0.078,0.105,0.089,0.082,0.125,0.101,0.082,0.086,257
Client  61,0.049,0.066,0.115,0.049,0.082,0.180,0.164,0.148,0.033,0.115,61
Client  62,0.200,0.200,0.00,0.00,0.00,0.400,0.00,0.200,0.00,0.00,5
Client  63,0.090,0.103,0.115,0.128,0.103,0.051,0.094,0.111,0.107,0.098,234
Client  64,0.104,0.089,0.092,0.104,0.096,0.094,0.116,0.101,0.113,0.090,873
Client  65,0.083,0.083,0.00,0.00,0.083,0.250,0.250,0.00,0.167,0.083,12
Client  66,0.112,0.087,0.100,0.115,0.087,0.108,0.088,0.101,0.091,0.111,1131
Client  67,0.105,0.094,0.107,0.097,0.113,0.110,0.092,0.088,0.098,0.096,946
Client  68,0.031,0.109,0.062,0.141,0.172,0.062,0.062,0.109,0.172,0.078,64
Client  69,0.104,0.104,0.052,0.075,0.134,0.090,0.090,0.090,0.127,0.134,134
Client  70,0.115,0.069,0.092,0.069,0.161,0.115,0.069,0.080,0.103,0.126,87
Client  71,0.078,0.097,0.068,0.146,0.117,0.049,0.175,0.078,0.107,0.087,103
Client  72,0.092,0.117,0.096,0.103,0.074,0.135,0.124,0.099,0.089,0.071,282
Client  73,0.153,0.133,0.082,0.061,0.102,0.082,0.082,0.143,0.092,0.071,98
Client  74,0.128,0.093,0.085,0.105,0.105,0.112,0.085,0.136,0.078,0.074,258
Client  75,0.076,0.090,0.102,0.125,0.099,0.111,0.122,0.082,0.090,0.102,343
Client  76,0.100,0.111,0.122,0.084,0.105,0.118,0.082,0.100,0.087,0.091,861
Client  77,0.118,0.126,0.063,0.134,0.031,0.110,0.150,0.094,0.087,0.087,127
Client  78,0.094,0.102,0.098,0.095,0.089,0.118,0.091,0.086,0.114,0.113,684
Client  79,0.00,0.00,0.333,0.00,0.333,0.00,0.00,0.333,0.00,0.00,3
Client  80,0.129,0.124,0.076,0.102,0.089,0.098,0.124,0.067,0.076,0.116,225
Client  81,0.081,0.130,0.102,0.110,0.096,0.091,0.112,0.091,0.091,0.096,571
Client  82,0.089,0.102,0.099,0.094,0.104,0.134,0.082,0.114,0.097,0.084,403
Client  83,0.106,0.106,0.095,0.078,0.088,0.120,0.110,0.099,0.102,0.095,283
Client  84,0.093,0.132,0.103,0.096,0.105,0.101,0.082,0.080,0.108,0.099,1338
Client  85,0.106,0.092,0.086,0.131,0.085,0.072,0.106,0.113,0.122,0.086,556
Client  86,0.175,0.063,0.143,0.111,0.063,0.079,0.00,0.127,0.095,0.143,63
Client  87,0.101,0.091,0.109,0.109,0.098,0.082,0.096,0.106,0.083,0.124,623
Client  88,0.097,0.069,0.069,0.028,0.139,0.083,0.153,0.083,0.181,0.097,72
Client  89,0.120,0.080,0.00,0.120,0.040,0.200,0.120,0.080,0.080,0.160,25
Client  90,0.00,0.250,0.250,0.00,0.00,0.250,0.00,0.00,0.00,0.250,4
Client  91,0.090,0.107,0.097,0.110,0.105,0.103,0.087,0.098,0.107,0.097,702
Client  92,0.087,0.130,0.087,0.00,0.130,0.217,0.087,0.130,0.043,0.087,23
Client  93,0.063,0.101,0.151,0.119,0.113,0.113,0.101,0.063,0.094,0.082,159
Client  94,0.154,0.077,0.123,0.092,0.108,0.092,0.169,0.031,0.108,0.046,65
Client  95,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,2
