Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.095,0.006,0.091,0.006,0.154,0.002,0.243,0.004,0.223,0.178,539
Client   1,0.268,0.008,0.114,0.073,0.146,0.325,0.00,0.016,0.024,0.024,123
Client   2,0.063,0.017,0.00,0.185,0.161,0.005,0.461,0.076,0.002,0.029,410
Client   3,0.005,0.097,0.002,0.123,0.008,0.124,0.00,0.090,0.551,0.00,1293
Client   4,0.008,0.073,0.184,0.034,0.016,0.344,0.077,0.006,0.257,0.00,790
Client   5,0.062,0.003,0.003,0.132,0.286,0.100,0.00,0.338,0.073,0.003,370
Client   6,0.378,0.028,0.00,0.005,0.028,0.017,0.019,0.526,0.00,0.00,1087
Client   7,0.004,0.051,0.174,0.043,0.00,0.014,0.017,0.093,0.605,0.00,1008
Client   8,0.047,0.079,0.089,0.006,0.561,0.003,0.001,0.215,0.00,0.00,699
Client   9,0.260,0.740,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,646
Client  10,0.002,0.039,0.313,0.100,0.008,0.539,0.00,0.00,0.00,0.00,642
Client  11,0.033,0.050,0.304,0.206,0.033,0.00,0.031,0.339,0.004,0.00,457
Client  12,0.158,0.185,0.00,0.008,0.041,0.427,0.00,0.181,0.00,0.00,634
Client  13,0.140,0.860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,699
Client  14,0.029,0.257,0.502,0.004,0.037,0.00,0.068,0.00,0.104,0.00,518
Client  15,0.113,0.00,0.00,0.00,0.00,0.195,0.322,0.017,0.329,0.024,584
Client  16,0.032,0.381,0.00,0.116,0.00,0.182,0.00,0.015,0.275,0.00,473
Client  17,0.183,0.124,0.00,0.00,0.00,0.289,0.064,0.339,0.00,0.00,605
Client  18,0.077,0.773,0.002,0.061,0.002,0.085,0.00,0.00,0.00,0.00,621
Client  19,0.128,0.272,0.063,0.046,0.188,0.131,0.142,0.025,0.00,0.005,367
Client  20,0.074,0.208,0.027,0.690,0.00,0.00,0.00,0.00,0.00,0.00,1075
Client  21,0.001,0.007,0.00,0.079,0.403,0.510,0.00,0.00,0.00,0.00,710
Client  22,0.00,0.003,0.089,0.003,0.022,0.243,0.089,0.003,0.012,0.535,325
Client  23,0.00,0.00,0.220,0.079,0.002,0.009,0.056,0.036,0.337,0.260,531
Client  24,0.007,0.028,0.063,0.250,0.046,0.026,0.109,0.041,0.431,0.00,541
Client  25,0.005,0.553,0.011,0.042,0.00,0.037,0.111,0.242,0.00,0.00,190
Client  26,0.008,0.006,0.002,0.002,0.266,0.401,0.316,0.00,0.00,0.00,621
Client  27,0.005,0.042,0.00,0.016,0.002,0.150,0.535,0.234,0.007,0.009,565
Client  28,0.059,0.00,0.941,0.00,0.00,0.00,0.00,0.00,0.00,0.00,697
Client  29,0.363,0.051,0.014,0.00,0.007,0.003,0.150,0.413,0.00,0.00,739
Client  30,0.006,0.002,0.002,0.610,0.150,0.015,0.021,0.00,0.004,0.190,474
Client  31,0.026,0.037,0.00,0.001,0.120,0.004,0.348,0.003,0.461,0.00,1095
Client  32,0.111,0.002,0.006,0.349,0.001,0.003,0.015,0.191,0.001,0.320,863
Client  33,0.123,0.044,0.021,0.003,0.356,0.00,0.018,0.100,0.336,0.00,661
Client  34,0.00,0.095,0.007,0.007,0.701,0.00,0.086,0.003,0.102,0.00,581
Client  35,0.069,0.085,0.00,0.005,0.593,0.00,0.007,0.240,0.00,0.00,738
Client  36,0.00,0.013,0.058,0.00,0.165,0.491,0.205,0.045,0.004,0.018,224
Client  37,0.011,0.020,0.148,0.821,0.00,0.00,0.00,0.00,0.00,0.00,654
Client  38,0.015,0.005,0.470,0.057,0.175,0.013,0.264,0.00,0.00,0.00,610
Client  39,0.00,0.198,0.062,0.004,0.004,0.174,0.00,0.001,0.036,0.521,728
Client  40,0.007,0.010,0.092,0.255,0.008,0.00,0.002,0.627,0.00,0.00,608
Client  41,0.00,0.003,0.059,0.056,0.062,0.456,0.038,0.050,0.265,0.012,340
