Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.455,0.074,0.032,0.106,0.010,0.216,0.013,0.094,0.00,0.00,310
Client   1,0.034,0.002,0.012,0.130,0.002,0.054,0.313,0.007,0.445,0.00,409
Client   2,0.049,0.191,0.010,0.003,0.013,0.158,0.289,0.286,0.00,0.00,304
Client   3,0.00,0.158,0.053,0.105,0.011,0.221,0.347,0.084,0.021,0.00,95
Client   4,0.138,0.005,0.079,0.049,0.00,0.003,0.030,0.472,0.225,0.00,369
Client   5,0.100,0.058,0.142,0.117,0.583,0.00,0.00,0.00,0.00,0.00,360
Client   6,0.676,0.324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330
Client   7,0.116,0.011,0.089,0.003,0.005,0.176,0.600,0.00,0.00,0.00,370
Client   8,0.007,0.186,0.153,0.00,0.00,0.039,0.156,0.098,0.00,0.362,307
Client   9,0.00,0.00,0.015,0.056,0.332,0.00,0.127,0.209,0.052,0.209,268
Client  10,0.016,0.214,0.024,0.041,0.006,0.076,0.622,0.00,0.00,0.00,490
Client  11,0.016,0.091,0.023,0.00,0.058,0.00,0.052,0.682,0.078,0.00,308
Client  12,0.011,0.397,0.061,0.045,0.00,0.011,0.274,0.151,0.034,0.017,179
Client  13,0.332,0.003,0.524,0.141,0.00,0.00,0.00,0.00,0.00,0.00,340
Client  14,0.006,0.006,0.325,0.331,0.00,0.145,0.058,0.129,0.00,0.00,311
Client  15,0.121,0.458,0.082,0.033,0.003,0.00,0.010,0.056,0.239,0.00,306
Client  16,0.889,0.00,0.032,0.014,0.037,0.005,0.018,0.00,0.005,0.00,217
Client  17,0.020,0.008,0.111,0.004,0.079,0.016,0.278,0.020,0.270,0.194,252
Client  18,0.316,0.231,0.454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399
Client  19,0.037,0.246,0.283,0.046,0.006,0.065,0.182,0.135,0.00,0.00,325
Client  20,0.066,0.264,0.00,0.036,0.00,0.248,0.092,0.030,0.158,0.106,303
Client  21,0.071,0.104,0.036,0.093,0.00,0.096,0.252,0.011,0.123,0.214,365
Client  22,0.071,0.050,0.475,0.00,0.00,0.114,0.264,0.004,0.007,0.014,280
Client  23,0.019,0.014,0.014,0.369,0.035,0.002,0.546,0.00,0.00,0.00,628
Client  24,0.042,0.00,0.205,0.039,0.006,0.080,0.113,0.083,0.433,0.00,337
Client  25,0.369,0.045,0.024,0.117,0.093,0.003,0.348,0.00,0.00,0.00,333
Client  26,0.00,0.006,0.00,0.156,0.043,0.00,0.003,0.318,0.064,0.410,327
