Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.094,0.054,0.144,0.016,0.190,0.091,0.093,0.00,0.00,0.318,849
Client   1,0.129,0.025,0.010,0.019,0.593,0.223,0.00,0.00,0.00,0.00,1067
Client   2,0.023,0.249,0.015,0.380,0.105,0.00,0.012,0.021,0.111,0.084,886
Client   3,0.118,0.010,0.081,0.006,0.00,0.355,0.196,0.230,0.001,0.003,704
Client   4,0.017,0.002,0.101,0.107,0.419,0.003,0.231,0.119,0.00,0.00,1016
Client   5,0.013,0.406,0.021,0.034,0.002,0.004,0.217,0.016,0.040,0.247,1076
Client   6,0.026,0.00,0.007,0.00,0.00,0.637,0.064,0.200,0.064,0.001,855
Client   7,0.116,0.002,0.507,0.00,0.00,0.267,0.002,0.106,0.00,0.00,1014
Client   8,0.00,0.951,0.008,0.00,0.008,0.008,0.020,0.00,0.00,0.004,245
Client   9,0.071,0.00,0.026,0.030,0.633,0.207,0.026,0.00,0.005,0.002,575
Client  10,0.083,0.023,0.00,0.00,0.143,0.626,0.121,0.004,0.00,0.00,771
Client  11,0.00,0.002,0.022,0.00,0.00,0.010,0.050,0.002,0.008,0.906,501
Client  12,0.001,0.276,0.094,0.629,0.00,0.00,0.00,0.00,0.00,0.00,1372
Client  13,0.246,0.00,0.098,0.00,0.003,0.075,0.578,0.00,0.00,0.00,1069
Client  14,0.302,0.048,0.004,0.041,0.00,0.019,0.163,0.043,0.015,0.365,539
Client  15,0.00,0.037,0.039,0.00,0.099,0.070,0.00,0.261,0.434,0.060,964
Client  16,0.232,0.261,0.507,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1111
Client  17,0.707,0.005,0.178,0.00,0.021,0.00,0.00,0.021,0.00,0.068,191
Client  18,0.00,0.004,0.099,0.092,0.116,0.099,0.570,0.004,0.018,0.00,284
Client  19,0.078,0.152,0.008,0.001,0.00,0.007,0.587,0.167,0.00,0.00,1023
Client  20,0.005,0.003,0.006,0.000,0.055,0.050,0.010,0.871,0.00,0.00,2436
Client  21,0.045,0.001,0.00,0.014,0.102,0.026,0.242,0.002,0.391,0.176,920
Client  22,0.040,0.021,0.00,0.048,0.00,0.001,0.00,0.033,0.227,0.630,1709
Client  23,0.624,0.008,0.00,0.085,0.020,0.083,0.00,0.002,0.00,0.177,983
Client  24,0.015,0.144,0.020,0.029,0.023,0.196,0.201,0.008,0.066,0.298,786
Client  25,0.226,0.003,0.012,0.356,0.404,0.00,0.00,0.00,0.00,0.00,1085
Client  26,0.002,0.00,0.208,0.425,0.048,0.317,0.00,0.00,0.00,0.00,1219
Client  27,0.269,0.731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1780
Client  28,0.099,0.008,0.066,0.00,0.00,0.005,0.428,0.001,0.174,0.218,754
Client  29,0.042,0.017,0.00,0.660,0.00,0.147,0.100,0.001,0.032,0.00,777
Client  30,0.005,0.111,0.245,0.002,0.030,0.021,0.00,0.103,0.404,0.078,958
Client  31,0.001,0.101,0.00,0.520,0.001,0.004,0.061,0.00,0.038,0.274,1221
Client  32,0.021,0.00,0.00,0.004,0.027,0.259,0.076,0.613,0.00,0.00,1637
Client  33,0.001,0.125,0.188,0.006,0.002,0.003,0.241,0.00,0.001,0.434,1549
Client  34,0.644,0.098,0.039,0.001,0.059,0.158,0.00,0.00,0.00,0.00,1130
Client  35,0.00,0.00,0.067,0.004,0.027,0.00,0.864,0.038,0.00,0.00,1033
Client  36,0.019,0.191,0.307,0.040,0.050,0.021,0.002,0.00,0.097,0.273,524
Client  37,0.003,0.003,0.053,0.552,0.249,0.003,0.131,0.00,0.006,0.00,337
Client  38,0.195,0.068,0.011,0.094,0.006,0.006,0.076,0.002,0.534,0.007,966
Client  39,0.00,0.024,0.022,0.00,0.00,0.031,0.064,0.186,0.615,0.058,452
Client  40,0.017,0.256,0.133,0.001,0.154,0.015,0.001,0.104,0.317,0.002,883
Client  41,0.003,0.221,0.010,0.004,0.084,0.152,0.064,0.005,0.456,0.00,1339
Client  42,0.377,0.002,0.033,0.142,0.148,0.001,0.001,0.053,0.004,0.240,1104
Client  43,0.152,0.073,0.776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1154
Client  44,0.007,0.00,0.031,0.095,0.163,0.00,0.00,0.349,0.043,0.313,1035
Client  45,0.011,0.036,0.00,0.007,0.839,0.089,0.005,0.008,0.003,0.002,881
Client  46,0.062,0.033,0.281,0.092,0.052,0.479,0.00,0.00,0.00,0.00,1703
Client  47,0.020,0.051,0.296,0.095,0.006,0.004,0.00,0.001,0.528,0.00,1539
Client  48,0.015,0.001,0.00,0.286,0.188,0.180,0.139,0.00,0.189,0.001,789
Client  49,0.148,0.118,0.002,0.148,0.378,0.001,0.017,0.002,0.187,0.00,1205
