Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.093,0.115,0.102,0.107,0.122,0.078,0.085,0.102,0.092,0.105,600
Client   1,0.117,0.107,0.097,0.097,0.085,0.102,0.085,0.103,0.107,0.102,600
Client   2,0.095,0.072,0.110,0.092,0.105,0.095,0.093,0.143,0.097,0.098,600
Client   3,0.100,0.107,0.088,0.102,0.095,0.107,0.092,0.115,0.090,0.105,600
Client   4,0.087,0.093,0.102,0.107,0.103,0.097,0.080,0.125,0.088,0.118,600
Client   5,0.117,0.115,0.077,0.100,0.090,0.082,0.102,0.087,0.115,0.117,600
Client   6,0.115,0.097,0.092,0.088,0.117,0.097,0.083,0.120,0.105,0.087,600
Client   7,0.110,0.090,0.110,0.103,0.082,0.112,0.093,0.098,0.097,0.105,600
Client   8,0.107,0.117,0.113,0.087,0.102,0.102,0.095,0.095,0.090,0.093,600
Client   9,0.097,0.103,0.098,0.107,0.110,0.092,0.108,0.093,0.105,0.087,600
Client  10,0.117,0.113,0.113,0.095,0.068,0.105,0.120,0.083,0.090,0.095,600
Client  11,0.100,0.115,0.138,0.092,0.100,0.098,0.070,0.097,0.097,0.093,600
Client  12,0.118,0.103,0.092,0.097,0.105,0.082,0.105,0.112,0.103,0.083,600
Client  13,0.093,0.102,0.105,0.107,0.080,0.117,0.103,0.097,0.100,0.097,600
Client  14,0.112,0.100,0.098,0.100,0.110,0.070,0.093,0.107,0.087,0.123,600
Client  15,0.082,0.107,0.100,0.110,0.112,0.085,0.107,0.100,0.095,0.103,600
Client  16,0.097,0.117,0.100,0.093,0.115,0.082,0.118,0.118,0.085,0.075,600
Client  17,0.107,0.123,0.118,0.107,0.082,0.103,0.107,0.083,0.083,0.087,600
Client  18,0.098,0.127,0.080,0.088,0.102,0.092,0.088,0.105,0.110,0.110,600
Client  19,0.097,0.100,0.098,0.100,0.112,0.098,0.097,0.108,0.087,0.103,600
Client  20,0.113,0.093,0.087,0.103,0.103,0.102,0.102,0.088,0.125,0.083,600
Client  21,0.117,0.107,0.105,0.097,0.075,0.082,0.085,0.097,0.115,0.122,600
Client  22,0.087,0.123,0.108,0.093,0.087,0.092,0.097,0.112,0.095,0.107,600
Client  23,0.087,0.100,0.085,0.122,0.092,0.093,0.108,0.103,0.098,0.112,600
Client  24,0.077,0.128,0.102,0.103,0.095,0.098,0.107,0.092,0.113,0.085,600
Client  25,0.085,0.105,0.117,0.083,0.113,0.110,0.103,0.098,0.093,0.092,600
Client  26,0.087,0.105,0.093,0.115,0.092,0.102,0.120,0.092,0.092,0.103,600
Client  27,0.093,0.122,0.088,0.082,0.123,0.077,0.097,0.127,0.097,0.095,600
Client  28,0.095,0.133,0.083,0.118,0.092,0.097,0.087,0.103,0.095,0.097,600
Client  29,0.098,0.113,0.087,0.082,0.100,0.077,0.112,0.110,0.108,0.113,600
Client  30,0.103,0.108,0.103,0.098,0.103,0.082,0.087,0.110,0.105,0.100,600
Client  31,0.078,0.113,0.122,0.110,0.093,0.082,0.092,0.103,0.105,0.102,600
Client  32,0.082,0.113,0.113,0.102,0.115,0.078,0.098,0.115,0.095,0.088,600
Client  33,0.098,0.112,0.100,0.098,0.068,0.100,0.077,0.135,0.112,0.100,600
Client  34,0.087,0.122,0.107,0.123,0.083,0.065,0.102,0.102,0.110,0.100,600
Client  35,0.085,0.117,0.118,0.095,0.095,0.078,0.100,0.097,0.112,0.103,600
Client  36,0.077,0.128,0.087,0.113,0.092,0.078,0.128,0.085,0.118,0.093,600
Client  37,0.107,0.100,0.120,0.095,0.113,0.093,0.115,0.083,0.092,0.082,600
Client  38,0.088,0.110,0.118,0.098,0.100,0.087,0.118,0.083,0.092,0.105,600
Client  39,0.073,0.110,0.113,0.095,0.115,0.107,0.092,0.095,0.118,0.082,600
Client  40,0.093,0.112,0.100,0.095,0.100,0.087,0.077,0.127,0.105,0.105,600
Client  41,0.093,0.120,0.108,0.102,0.085,0.087,0.102,0.102,0.088,0.113,600
Client  42,0.120,0.115,0.088,0.115,0.085,0.095,0.093,0.093,0.100,0.095,600
Client  43,0.068,0.115,0.137,0.107,0.102,0.068,0.097,0.122,0.092,0.093,600
Client  44,0.077,0.115,0.095,0.098,0.105,0.092,0.117,0.117,0.098,0.087,600
Client  45,0.102,0.100,0.103,0.107,0.092,0.082,0.120,0.112,0.085,0.098,600
Client  46,0.127,0.095,0.098,0.118,0.085,0.092,0.102,0.085,0.105,0.093,600
Client  47,0.092,0.128,0.102,0.090,0.102,0.097,0.097,0.095,0.097,0.102,600
Client  48,0.093,0.097,0.083,0.107,0.122,0.100,0.093,0.100,0.088,0.117,600
Client  49,0.087,0.120,0.118,0.105,0.100,0.097,0.097,0.103,0.083,0.090,600
Client  50,0.105,0.128,0.095,0.113,0.103,0.080,0.105,0.098,0.083,0.088,600
Client  51,0.097,0.145,0.125,0.088,0.095,0.070,0.102,0.075,0.100,0.103,600
Client  52,0.103,0.095,0.115,0.108,0.093,0.097,0.088,0.107,0.087,0.107,600
Client  53,0.105,0.117,0.112,0.107,0.100,0.082,0.090,0.095,0.107,0.087,600
Client  54,0.092,0.100,0.092,0.087,0.100,0.097,0.100,0.122,0.095,0.117,600
Client  55,0.115,0.118,0.117,0.108,0.082,0.083,0.098,0.090,0.100,0.088,600
Client  56,0.113,0.107,0.102,0.107,0.077,0.083,0.085,0.115,0.098,0.113,600
Client  57,0.103,0.095,0.113,0.100,0.108,0.083,0.107,0.105,0.090,0.095,600
Client  58,0.107,0.122,0.115,0.093,0.092,0.092,0.080,0.088,0.098,0.113,600
Client  59,0.107,0.135,0.097,0.110,0.095,0.087,0.107,0.090,0.092,0.082,600
Client  60,0.110,0.115,0.098,0.102,0.108,0.102,0.082,0.088,0.080,0.115,600
Client  61,0.112,0.100,0.088,0.110,0.092,0.063,0.103,0.102,0.108,0.122,600
Client  62,0.090,0.135,0.093,0.092,0.077,0.088,0.087,0.107,0.112,0.120,600
Client  63,0.105,0.107,0.075,0.133,0.068,0.092,0.118,0.107,0.103,0.092,600
Client  64,0.098,0.125,0.107,0.087,0.085,0.077,0.108,0.115,0.083,0.115,600
Client  65,0.123,0.095,0.098,0.090,0.103,0.082,0.103,0.105,0.083,0.117,600
Client  66,0.113,0.115,0.092,0.098,0.112,0.078,0.088,0.098,0.115,0.090,600
Client  67,0.102,0.135,0.078,0.078,0.098,0.102,0.093,0.117,0.103,0.093,600
Client  68,0.113,0.110,0.077,0.110,0.118,0.097,0.087,0.100,0.088,0.100,600
Client  69,0.100,0.117,0.078,0.087,0.133,0.102,0.117,0.098,0.090,0.078,600
Client  70,0.092,0.118,0.088,0.097,0.102,0.087,0.118,0.110,0.075,0.113,600
Client  71,0.097,0.110,0.102,0.090,0.103,0.092,0.117,0.113,0.090,0.087,600
Client  72,0.102,0.115,0.103,0.113,0.107,0.070,0.080,0.110,0.095,0.105,600
Client  73,0.103,0.132,0.095,0.097,0.098,0.102,0.082,0.113,0.092,0.087,600
Client  74,0.115,0.112,0.070,0.108,0.103,0.093,0.095,0.122,0.082,0.100,600
Client  75,0.098,0.125,0.098,0.110,0.085,0.097,0.080,0.115,0.102,0.090,600
Client  76,0.077,0.127,0.092,0.093,0.103,0.103,0.092,0.128,0.093,0.092,600
Client  77,0.090,0.108,0.075,0.115,0.070,0.100,0.110,0.122,0.103,0.107,600
Client  78,0.087,0.127,0.098,0.135,0.082,0.102,0.093,0.115,0.090,0.072,600
Client  79,0.112,0.123,0.092,0.122,0.093,0.087,0.098,0.090,0.097,0.087,600
Client  80,0.102,0.112,0.087,0.085,0.102,0.080,0.110,0.123,0.100,0.100,600
Client  81,0.095,0.117,0.095,0.100,0.098,0.083,0.082,0.103,0.103,0.123,600
Client  82,0.100,0.090,0.103,0.098,0.113,0.097,0.098,0.105,0.088,0.107,600
Client  83,0.110,0.098,0.100,0.110,0.103,0.090,0.083,0.100,0.112,0.093,600
Client  84,0.102,0.122,0.078,0.107,0.110,0.095,0.105,0.095,0.092,0.095,600
Client  85,0.093,0.085,0.082,0.113,0.115,0.087,0.110,0.122,0.098,0.095,600
Client  86,0.112,0.115,0.108,0.092,0.078,0.098,0.113,0.102,0.102,0.080,600
Client  87,0.080,0.095,0.092,0.103,0.090,0.122,0.128,0.100,0.112,0.078,600
Client  88,0.080,0.102,0.087,0.140,0.082,0.083,0.108,0.112,0.102,0.105,600
Client  89,0.102,0.117,0.100,0.120,0.110,0.073,0.083,0.093,0.098,0.103,600
Client  90,0.098,0.095,0.100,0.112,0.088,0.088,0.097,0.110,0.108,0.103,600
Client  91,0.097,0.122,0.108,0.092,0.105,0.078,0.093,0.108,0.088,0.108,600
Client  92,0.115,0.130,0.092,0.083,0.075,0.097,0.127,0.083,0.087,0.112,600
Client  93,0.087,0.123,0.103,0.088,0.095,0.108,0.077,0.113,0.098,0.107,600
Client  94,0.097,0.138,0.097,0.107,0.100,0.073,0.085,0.100,0.098,0.105,600
Client  95,0.092,0.095,0.102,0.118,0.087,0.082,0.110,0.105,0.112,0.098,600
Client  96,0.093,0.132,0.105,0.108,0.102,0.087,0.085,0.120,0.077,0.092,600
Client  97,0.115,0.102,0.095,0.090,0.080,0.077,0.128,0.103,0.097,0.113,600
Client  98,0.085,0.107,0.100,0.108,0.095,0.095,0.087,0.113,0.103,0.107,600
Client  99,0.108,0.128,0.095,0.108,0.100,0.108,0.097,0.093,0.088,0.073,600
