Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.585,0.039,0.077,0.198,0.00,0.00,0.010,0.018,0.070,0.003,388
Client   1,0.223,0.014,0.157,0.119,0.016,0.00,0.00,0.027,0.001,0.443,732
Client   2,0.002,0.015,0.395,0.002,0.00,0.003,0.211,0.373,0.00,0.00,620
Client   3,0.016,0.002,0.014,0.00,0.00,0.086,0.061,0.00,0.655,0.166,440
Client   4,0.182,0.00,0.061,0.004,0.040,0.002,0.136,0.115,0.151,0.310,478
Client   5,0.005,0.801,0.00,0.00,0.162,0.00,0.00,0.014,0.009,0.009,216
Client   6,0.025,0.133,0.044,0.276,0.070,0.011,0.198,0.002,0.015,0.226,474
Client   7,0.001,0.001,0.032,0.102,0.038,0.00,0.262,0.563,0.00,0.00,686
Client   8,0.178,0.200,0.00,0.004,0.031,0.022,0.218,0.040,0.004,0.302,225
Client   9,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,787
Client  10,0.00,0.005,0.247,0.014,0.064,0.072,0.00,0.143,0.105,0.350,797
Client  11,0.013,0.030,0.093,0.073,0.036,0.124,0.631,0.00,0.00,0.00,605
Client  12,0.038,0.118,0.012,0.005,0.195,0.180,0.451,0.00,0.00,0.00,728
Client  13,0.089,0.113,0.00,0.004,0.055,0.045,0.004,0.691,0.00,0.00,821
Client  14,0.369,0.008,0.00,0.041,0.088,0.023,0.005,0.397,0.039,0.031,388
Client  15,0.307,0.144,0.095,0.00,0.329,0.095,0.002,0.00,0.027,0.00,514
Client  16,0.017,0.983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,863
Client  17,0.335,0.002,0.663,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1374
Client  18,0.339,0.011,0.192,0.051,0.220,0.045,0.00,0.130,0.006,0.006,177
Client  19,0.00,0.067,0.002,0.284,0.031,0.056,0.085,0.013,0.462,0.00,610
Client  20,0.005,0.100,0.00,0.003,0.015,0.00,0.033,0.260,0.012,0.572,603
Client  21,0.017,0.316,0.075,0.592,0.00,0.00,0.00,0.00,0.00,0.00,916
Client  22,0.002,0.024,0.032,0.003,0.028,0.001,0.001,0.014,0.001,0.892,899
Client  23,0.138,0.038,0.009,0.050,0.550,0.050,0.006,0.00,0.158,0.00,676
Client  24,0.012,0.602,0.015,0.00,0.058,0.056,0.002,0.010,0.245,0.00,603
Client  25,0.00,0.011,0.00,0.893,0.097,0.00,0.00,0.00,0.00,0.00,661
Client  26,0.002,0.090,0.059,0.158,0.002,0.002,0.107,0.517,0.00,0.063,476
Client  27,0.00,0.024,0.00,0.003,0.00,0.016,0.00,0.090,0.867,0.00,377
Client  28,0.063,0.063,0.023,0.011,0.00,0.003,0.131,0.417,0.037,0.251,350
Client  29,0.041,0.388,0.005,0.00,0.005,0.00,0.138,0.250,0.051,0.122,196
Client  30,0.042,0.338,0.224,0.00,0.004,0.338,0.004,0.017,0.034,0.00,237
Client  31,0.028,0.136,0.006,0.187,0.644,0.00,0.00,0.00,0.00,0.00,686
Client  32,0.630,0.006,0.031,0.00,0.031,0.004,0.00,0.295,0.002,0.00,511
Client  33,0.103,0.004,0.011,0.323,0.002,0.004,0.133,0.069,0.038,0.313,533
Client  34,0.037,0.379,0.046,0.004,0.00,0.002,0.532,0.00,0.00,0.00,1200
Client  35,0.082,0.00,0.508,0.00,0.115,0.00,0.00,0.131,0.164,0.00,61
Client  36,0.391,0.027,0.00,0.003,0.00,0.232,0.001,0.004,0.342,0.00,751
Client  37,0.056,0.077,0.163,0.132,0.269,0.303,0.00,0.00,0.00,0.00,755
Client  38,0.180,0.224,0.003,0.296,0.008,0.003,0.00,0.237,0.005,0.042,594
Client  39,0.206,0.026,0.016,0.541,0.00,0.193,0.005,0.00,0.013,0.00,379
Client  40,0.020,0.00,0.044,0.215,0.383,0.337,0.00,0.00,0.00,0.00,809
Client  41,0.021,0.099,0.00,0.004,0.131,0.067,0.657,0.018,0.004,0.00,283
Client  42,0.059,0.028,0.00,0.001,0.912,0.00,0.00,0.00,0.00,0.00,969
Client  43,0.00,0.067,0.006,0.159,0.049,0.100,0.00,0.323,0.037,0.260,781
Client  44,0.051,0.129,0.005,0.005,0.063,0.003,0.010,0.00,0.734,0.00,394
Client  45,0.00,0.052,0.785,0.005,0.005,0.039,0.013,0.076,0.00,0.024,382
Client  46,0.004,0.114,0.053,0.451,0.076,0.011,0.00,0.008,0.148,0.136,264
Client  47,0.157,0.00,0.002,0.002,0.005,0.014,0.155,0.035,0.237,0.394,632
Client  48,0.00,0.005,0.213,0.193,0.455,0.034,0.002,0.083,0.015,0.00,409
Client  49,0.177,0.002,0.045,0.023,0.015,0.139,0.254,0.049,0.276,0.021,532
Client  50,0.171,0.006,0.002,0.004,0.008,0.289,0.486,0.018,0.004,0.012,498
Client  51,0.002,0.003,0.00,0.003,0.118,0.116,0.732,0.025,0.00,0.00,601
Client  52,0.00,0.315,0.043,0.00,0.004,0.045,0.228,0.00,0.145,0.219,447
Client  53,0.041,0.074,0.008,0.00,0.189,0.066,0.296,0.222,0.095,0.008,243
Client  54,0.00,0.123,0.123,0.038,0.003,0.006,0.089,0.00,0.618,0.00,1082
Client  55,0.044,0.025,0.105,0.00,0.283,0.329,0.025,0.137,0.002,0.051,526
Client  56,0.283,0.081,0.002,0.138,0.084,0.084,0.059,0.010,0.241,0.020,407
Client  57,0.007,0.151,0.075,0.015,0.00,0.096,0.070,0.022,0.382,0.182,456
Client  58,0.005,0.456,0.011,0.055,0.002,0.119,0.016,0.036,0.276,0.024,548
Client  59,0.006,0.304,0.063,0.466,0.161,0.00,0.00,0.00,0.00,0.00,652
Client  60,0.087,0.018,0.041,0.826,0.00,0.007,0.016,0.00,0.005,0.00,438
Client  61,0.001,0.009,0.00,0.043,0.031,0.003,0.197,0.118,0.598,0.00,1233
Client  62,0.148,0.107,0.002,0.545,0.010,0.012,0.00,0.129,0.044,0.002,411
Client  63,0.333,0.051,0.021,0.051,0.017,0.127,0.004,0.333,0.025,0.038,237
Client  64,0.009,0.018,0.00,0.00,0.009,0.124,0.002,0.014,0.385,0.439,444
Client  65,0.00,0.00,0.367,0.00,0.252,0.00,0.176,0.067,0.019,0.119,210
Client  66,0.593,0.100,0.025,0.105,0.018,0.070,0.052,0.00,0.00,0.036,440
Client  67,0.062,0.122,0.00,0.00,0.213,0.021,0.371,0.212,0.00,0.00,680
Client  68,0.100,0.00,0.128,0.026,0.066,0.299,0.043,0.261,0.045,0.032,468
Client  69,0.00,0.042,0.001,0.198,0.027,0.016,0.001,0.012,0.013,0.690,1347
Client  70,0.004,0.018,0.575,0.024,0.00,0.00,0.372,0.004,0.00,0.002,449
Client  71,0.092,0.052,0.00,0.012,0.008,0.010,0.00,0.00,0.005,0.821,884
Client  72,0.004,0.025,0.118,0.031,0.005,0.818,0.00,0.00,0.00,0.00,1480
Client  73,0.015,0.00,0.023,0.119,0.046,0.537,0.015,0.004,0.00,0.241,477
Client  74,0.00,0.055,0.00,0.098,0.174,0.134,0.00,0.052,0.487,0.00,655
Client  75,0.00,0.008,0.00,0.002,0.429,0.00,0.546,0.007,0.008,0.00,601
Client  76,0.051,0.153,0.00,0.223,0.057,0.516,0.00,0.00,0.00,0.00,919
Client  77,0.00,0.00,0.569,0.056,0.009,0.062,0.303,0.00,0.00,0.00,692
Client  78,0.002,0.003,0.932,0.063,0.00,0.00,0.00,0.00,0.00,0.00,607
Client  79,0.127,0.001,0.066,0.093,0.062,0.008,0.299,0.073,0.268,0.00,708
Client  80,0.171,0.027,0.00,0.261,0.018,0.009,0.342,0.162,0.00,0.009,111
Client  81,0.203,0.067,0.176,0.058,0.00,0.00,0.168,0.017,0.172,0.139,641
Client  82,0.00,0.272,0.002,0.00,0.399,0.00,0.020,0.308,0.00,0.00,614
Client  83,0.00,0.050,0.00,0.059,0.026,0.866,0.00,0.00,0.00,0.00,700
Client  84,0.00,0.055,0.042,0.227,0.676,0.00,0.00,0.00,0.00,0.00,815
Client  85,0.829,0.00,0.020,0.00,0.00,0.034,0.00,0.00,0.002,0.114,639
Client  86,0.186,0.003,0.008,0.023,0.091,0.171,0.035,0.345,0.00,0.139,397
Client  87,0.006,0.00,0.035,0.025,0.045,0.006,0.140,0.744,0.00,0.00,1178
Client  88,0.015,0.004,0.00,0.112,0.026,0.408,0.033,0.201,0.002,0.201,547
Client  89,0.00,0.176,0.018,0.103,0.00,0.040,0.485,0.178,0.00,0.00,720
Client  90,0.002,0.00,0.227,0.011,0.443,0.062,0.033,0.073,0.062,0.085,449
Client  91,0.030,0.445,0.147,0.004,0.152,0.179,0.018,0.00,0.00,0.025,564
Client  92,0.011,0.014,0.011,0.320,0.004,0.00,0.018,0.440,0.183,0.00,284
Client  93,0.00,0.00,0.00,0.017,0.041,0.031,0.014,0.005,0.893,0.00,839
Client  94,0.008,0.019,0.556,0.016,0.109,0.011,0.00,0.00,0.006,0.274,624
Client  95,0.443,0.189,0.00,0.015,0.114,0.196,0.005,0.038,0.00,0.00,603
Client  96,0.003,0.013,0.021,0.640,0.00,0.282,0.00,0.003,0.005,0.034,386
Client  97,0.126,0.095,0.198,0.003,0.005,0.106,0.073,0.395,0.00,0.00,962
Client  98,0.014,0.003,0.688,0.018,0.00,0.017,0.008,0.168,0.00,0.084,654
Client  99,0.176,0.379,0.074,0.005,0.039,0.002,0.046,0.091,0.007,0.181,591
