Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.030,0.164,0.052,0.328,0.119,0.015,0.00,0.007,0.284,0.00,134
Client   1,0.171,0.829,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228
Client   2,0.042,0.119,0.059,0.110,0.008,0.500,0.00,0.017,0.144,0.00,118
Client   3,0.068,0.114,0.034,0.034,0.148,0.068,0.00,0.023,0.489,0.023,88
Client   4,0.021,0.058,0.156,0.045,0.086,0.004,0.00,0.058,0.107,0.465,243
Client   5,0.014,0.505,0.144,0.00,0.023,0.019,0.005,0.102,0.190,0.00,216
Client   6,0.013,0.395,0.357,0.013,0.223,0.00,0.00,0.00,0.00,0.00,238
Client   7,0.127,0.037,0.00,0.00,0.015,0.007,0.045,0.075,0.097,0.597,134
Client   8,0.479,0.063,0.101,0.029,0.076,0.025,0.00,0.004,0.050,0.172,238
Client   9,0.214,0.042,0.219,0.228,0.005,0.023,0.005,0.00,0.00,0.265,215
Client  10,0.028,0.591,0.017,0.050,0.011,0.00,0.133,0.110,0.017,0.044,181
Client  11,0.045,0.229,0.129,0.030,0.045,0.124,0.00,0.209,0.070,0.119,201
Client  12,0.076,0.00,0.193,0.276,0.179,0.014,0.007,0.00,0.00,0.255,145
Client  13,0.019,0.688,0.062,0.231,0.00,0.00,0.00,0.00,0.00,0.00,208
Client  14,0.367,0.032,0.068,0.113,0.199,0.081,0.054,0.086,0.00,0.00,221
Client  15,0.103,0.021,0.043,0.295,0.184,0.009,0.00,0.167,0.179,0.00,234
Client  16,0.250,0.006,0.205,0.00,0.006,0.321,0.090,0.045,0.00,0.077,156
Client  17,0.065,0.048,0.129,0.220,0.102,0.097,0.070,0.161,0.00,0.108,186
Client  18,0.036,0.013,0.129,0.174,0.545,0.103,0.00,0.00,0.00,0.00,224
Client  19,0.00,0.189,0.160,0.553,0.015,0.058,0.024,0.00,0.00,0.00,206
Client  20,0.014,0.005,0.014,0.626,0.033,0.223,0.005,0.024,0.00,0.057,211
Client  21,0.087,0.083,0.087,0.295,0.448,0.00,0.00,0.00,0.00,0.00,288
Client  22,0.037,0.00,0.242,0.019,0.702,0.00,0.00,0.00,0.00,0.00,322
Client  23,0.00,0.00,0.101,0.081,0.818,0.00,0.00,0.00,0.00,0.00,247
Client  24,0.223,0.040,0.217,0.011,0.063,0.297,0.103,0.00,0.023,0.023,175
Client  25,0.017,0.017,0.006,0.081,0.407,0.180,0.041,0.076,0.041,0.134,172
Client  26,0.621,0.218,0.033,0.128,0.00,0.00,0.00,0.00,0.00,0.00,211
Client  27,0.234,0.00,0.090,0.00,0.009,0.009,0.036,0.234,0.207,0.180,111
Client  28,0.160,0.00,0.152,0.004,0.00,0.016,0.045,0.346,0.276,0.00,243
Client  29,0.261,0.488,0.038,0.114,0.100,0.00,0.00,0.00,0.00,0.00,211
Client  30,0.557,0.167,0.00,0.00,0.014,0.057,0.110,0.00,0.095,0.00,210
Client  31,0.005,0.064,0.452,0.027,0.023,0.110,0.128,0.192,0.00,0.00,219
Client  32,0.660,0.137,0.137,0.066,0.00,0.00,0.00,0.00,0.00,0.00,212
Client  33,0.398,0.602,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221
Client  34,0.217,0.235,0.253,0.023,0.072,0.009,0.190,0.00,0.00,0.00,221
Client  35,0.561,0.00,0.439,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221
Client  36,0.163,0.284,0.019,0.135,0.168,0.014,0.082,0.087,0.048,0.00,208
Client  37,0.077,0.260,0.062,0.082,0.010,0.111,0.115,0.188,0.096,0.00,208
Client  38,0.060,0.173,0.008,0.085,0.052,0.097,0.069,0.036,0.081,0.339,248
Client  39,0.379,0.621,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219
Client  40,0.00,0.024,0.976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205
Client  41,0.030,0.043,0.926,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230
Client  42,0.130,0.00,0.112,0.036,0.065,0.036,0.053,0.485,0.012,0.071,169
Client  43,0.00,0.004,0.004,0.018,0.044,0.00,0.105,0.053,0.039,0.732,228
Client  44,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228
Client  45,0.217,0.120,0.063,0.057,0.006,0.00,0.160,0.189,0.063,0.126,175
Client  46,0.039,0.361,0.005,0.556,0.039,0.00,0.00,0.00,0.00,0.00,205
Client  47,0.156,0.266,0.013,0.305,0.00,0.026,0.032,0.013,0.110,0.078,154
Client  48,0.040,0.804,0.156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
Client  49,0.115,0.175,0.226,0.032,0.207,0.244,0.00,0.00,0.00,0.00,217
Client  50,0.027,0.027,0.044,0.451,0.018,0.009,0.053,0.115,0.248,0.009,113
Client  51,0.336,0.145,0.136,0.075,0.136,0.065,0.107,0.00,0.00,0.00,214
